,county,tract,under_5_count,5_to_17_count,18_to_24_count,broadband_percent
55143,Alamance County,20100,336,525,284,69.66
55144,Alamance County,20200,97,1009,453,66.92
55145,Alamance County,20301,223,740,104,70.01
55146,Alamance County,20302,321,813,300,74.32
55147,Alamance County,20400,420,1346,571,61.15
55148,Alamance County,20501,229,682,612,75.98
55149,Alamance County,20502,555,903,446,65.43
55150,Alamance County,20601,186,416,156,75.16
55151,Alamance County,20602,0,488,221,70.89
55152,Alamance County,20701,122,651,543,74.26
55153,Alamance County,20702,240,1000,566,67.65
55154,Alamance County,20801,132,290,125,79.62
55155,Alamance County,20802,257,993,700,64.97
55156,Alamance County,20901,238,428,207,67.96
55157,Alamance County,20902,301,673,410,85.94
55158,Alamance County,21000,432,1028,493,57.88
55159,Alamance County,21101,254,315,242,72.11
55160,Alamance County,21102,220,406,431,65.92
55161,Alamance County,21201,503,1175,681,58.73
55162,Alamance County,21204,231,814,245,69.53
55163,Alamance County,21205,457,1362,640,81.09
55164,Alamance County,21206,211,1114,471,70.04
55165,Alamance County,21207,244,634,57,72.85
55166,Alamance County,21300,363,733,666,60.31
55167,Alamance County,21400,99,349,90,42.7
55168,Alamance County,21500,213,830,186,76.23
55169,Alamance County,21600,392,1046,2341,70.14
55170,Alamance County,21701,85,482,108,77.47
55171,Alamance County,21702,175,730,2745,89.09
55172,Alamance County,21703,531,1262,706,88.55
55173,Alamance County,21801,159,987,310,69.27
55174,Alamance County,21802,226,713,334,67.36
55175,Alamance County,21803,231,521,168,61.59
55176,Alamance County,21901,454,625,266,75.39
55177,Alamance County,21902,169,694,253,77.15
55178,Alamance County,22001,259,482,309,76.62
55179,Alamance County,22002,168,763,431,69.53
55180,Alexander County,40100,129,360,190,40.7
55181,Alexander County,40200,91,589,275,40.33
55182,Alexander County,40300,146,665,141,52.61
55183,Alexander County,40400,340,1052,567,65.97
55184,Alexander County,40500,287,1097,431,61.91
55185,Alexander County,40600,334,947,779,75.4
55186,Alexander County,40700,273,1080,536,75.37
55187,Alleghany County,950100,176,592,222,79.85
55188,Alleghany County,950200,138,555,230,65.82
55189,Alleghany County,950300,140,263,211,64.02
55190,Anson County,920100,178,569,124,65.7
55191,Anson County,920200,123,171,140,82.2
55192,Anson County,920301,151,808,333,64.11
55193,Anson County,920302,26,18,25,83.56
55194,Anson County,920400,319,472,415,49.22
55195,Anson County,920501,105,151,17,68.46
55196,Anson County,920502,96,700,326,67.75
55197,Anson County,920600,124,610,289,56.89
55198,Anson County,980000,0,0,95,
55199,Ashe County,970200,46,475,300,67.99
55200,Ashe County,970300,34,298,143,70.31
55201,Ashe County,970400,285,750,307,71.0
55202,Ashe County,970501,97,236,143,69.06
55203,Ashe County,970502,151,388,138,73.68
55204,Ashe County,970701,54,380,232,70.56
55205,Ashe County,970702,23,124,76,84.23
55206,Ashe County,970801,63,230,235,42.09
55207,Ashe County,970802,313,678,72,66.84
55208,Avery County,930100,110,356,983,74.23
55209,Avery County,930200,189,178,169,68.93
55210,Avery County,930301,68,456,66,52.96
55211,Avery County,930302,118,329,90,61.03
55212,Avery County,930400,129,649,241,46.77
55213,Beaufort County,930101,102,989,263,59.0
55214,Beaufort County,930102,43,323,67,53.86
55215,Beaufort County,930200,254,778,701,63.71
55216,Beaufort County,930300,271,541,327,58.42
55217,Beaufort County,930400,267,803,348,70.31
55218,Beaufort County,930501,214,418,253,79.45
55219,Beaufort County,930502,202,591,315,59.23
55220,Beaufort County,930600,131,435,164,74.61
55221,Beaufort County,930700,117,239,105,66.3
55222,Beaufort County,930800,71,463,121,47.61
55223,Beaufort County,930900,131,386,133,62.21
55224,Beaufort County,931001,204,368,189,56.84
55225,Beaufort County,931002,161,490,226,64.12
55226,Bertie County,960100,112,506,524,40.42
55227,Bertie County,960200,285,598,258,58.94
55228,Bertie County,960300,177,578,172,34.52
55229,Bertie County,960401,92,304,209,51.06
55230,Bertie County,960402,96,362,292,28.72
55231,Bladen County,950101,215,334,275,59.38
55232,Bladen County,950102,65,183,37,56.42
55233,Bladen County,950200,103,280,233,49.05
55234,Bladen County,950301,142,669,371,60.46
55235,Bladen County,950302,224,247,161,58.7
55236,Bladen County,950401,282,447,306,61.08
55237,Bladen County,950402,40,632,375,79.34
55238,Bladen County,950501,118,548,188,67.16
55239,Bladen County,950502,152,505,103,50.8
55240,Bladen County,950601,127,573,246,50.54
55241,Bladen County,950602,64,272,84,52.47
55242,Brunswick County,20101,176,280,256,52.44
55243,Brunswick County,20102,203,670,245,89.58
55244,Brunswick County,20105,307,585,332,87.41
55245,Brunswick County,20106,48,582,329,76.08
55246,Brunswick County,20107,310,814,162,77.17
55247,Brunswick County,20108,78,455,411,65.89
55248,Brunswick County,20201,398,737,634,90.04
55249,Brunswick County,20203,140,300,80,79.56
